State,Policy_Date_Begin,Policy_Date_End,FamCapExist,FamCapExist_Notes,FamCapDate,FamCapDate_Notes,FamCapMonthChildExclu,FamCapMonthChildExclu_Notes,FamCapPrevExcluChild,FamCapPrevExcluChild_Notes,FamCapInclAfterXMonthsNonReceipt,FamCapInclAfterXMonthsNonReceipt_Notes,FamCapInclIfBornOrConceivedNonReceipt,FamCapInclIfBornOrConceivedNonReceipt_Notes,FamCapBenRedPerCappedChild,FamCapBenRedPerCappedChild_Notes,FamCapCappedChildInclElig,FamCapCappedChildInclElig_Notes,FamCapChildSupptIncExclu,FamCapChildSupptIncExclu_Notes,FamCapChildExemptIfNonconsensual,FamCapChildExemptIfNonconsensual_Notes,FamCapChildResidencyinUnitExempt,FamCapChildResidencyinUnitExempt_Notes,FamCapFirstChildtoMinorParExempt,FamCapFirstChildtoMinorParExempt_Notes,FamCapOtherExemptions,FamCapOtherExemptions_Notes,FamCapDatabookRecord,FamCapDatabookRecord_Notes,Notes
Arizona,2003/07/01,2006/10/31,Yes,,11/01/1995,,10,"For former control group members, the child is excluded if born more than 10 months after the first eligibility determination after 8/1/99.","Always capped","The child is considered benefit-capped until the month after the child's 18th birthday. A benefit-capped child may receive cash assistance prior to the child's 18th birthday if the child becomes a minor parent or is adopted.","more than 12 consecutive months","A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits.",conceived,,100,,No,,Yes,"The entire amount of child support collected for a benefit capped child is passed through to the unit and excluded from eligibility tests and benefit computation.",Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,2006/11/01,2008/03/31,Yes,"The participant parent is subject to a family benefit cap period of 60 months beginning the date that cash assistance starts. Any child born during this 60-month period is a benefit capped child. The 60-month period continues even if the participant parent discontinues receiving assistance prior to the end of the 60-month benefit cap period; however, children conceived after 12 months of non-receipt are not capped. A new 60-month benefit cap period begins each time the recipient parent resumes cash assistance.",11/01/1995,,10,"Child is excluded if born more than 10 months after the initial application interview on or after 11/1/1995 or the first renewal interview after this date for participants who had ongoing assistance as of 11/1/1995. This exemption is only allowed once in a recipient parent's lifetime.","Always capped","The child is considered benefit-capped until the month after the child's 18th birthday. A benefit-capped child may receive cash assistance prior to the child's 18th birthday if the child becomes a minor parent or is adopted.",12,"A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits. A child born after a 60-month benefit cap period expires and before a new cash assistance application is not capped.",conceived,,100,"Assistance units subject to the family cap receive an additional earned income disregard equal to the lost benefit amount. This additional disregard is allowed for each month the member is excluded because of the cap.",No,,Yes,"The entire amount of child support collected for a benefit capped child is passed through to the unit and excluded from eligibility tests and benefit computation.",Yes,,No,,Yes,,"A child born during a month that the parent received only Arizona Works cash assistance is exempt",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility. The child will not be eligible for support services but are potentially eligible for transitional child care."
Arizona,2008/04/01,2013/12/31,Yes,"The participant parent is subject to a family benefit cap period of 60 months beginning the date that cash assistance starts. Any child born during this 60-month period is a benefit capped child. The 60-month period continues even if the participant parent discontinues receiving assistance prior to the end of the 60-month benefit cap period; however, children conceived after 12 months of non-receipt are not capped. A new 60-month benefit cap period begins each time the recipient parent resumes cash assistance.",11/01/1995,,10,"Child is excluded if born more than 10 months after the initial application interview on or after 11/1/1995 or the first renewal interview after this date for participants who had ongoing assistance as of 11/1/1995. This exemption is only allowed once in a recipient parent's lifetime.","Always capped","The child is considered benefit-capped until the month after the child's 18th birthday. A benefit-capped child may receive cash assistance prior to the child's 18th birthday if the child becomes a minor parent or is adopted.",12,"A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits. A child born after a 60-month benefit cap period expires and before a new cash assistance application is not capped.",conceived,,100,"Assistance units subject to the family cap receive an additional earned income disregard equal to the lost benefit amount. This additional disregard is allowed for each month the member is excluded because of the cap.",No,,Yes,"The entire amount of child support collected for a benefit capped child is passed through to the unit and excluded from eligibility tests and benefit computation.",Yes,,No,,Yes,,"A child born during a month that the parent received only Arizona Works cash assistance is exempt",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility. The child will not be eligible for support services but are potentially eligible for transitional child care. The family cap policy applies to children adopted by the unit as well."
Arizona,2014/01/01,2016/08/05,Yes,"The participant parent is subject to a family benefit cap period of 60 months beginning the date that cash assistance starts. Any child born during this 60-month period is a benefit capped child. The 60-month period continues even if the participant parent discontinues receiving assistance prior to the end of the 60-month benefit cap period; however, children conceived after 12 months of non-receipt are not capped. A new 60-month benefit cap period begins each time the recipient parent resumes cash assistance.",11/01/1995,,10,"Child is excluded if born more than 10 months after the initial application interview on or after 11/1/1995 or the first renewal interview after this date for participants who had ongoing assistance as of 11/1/1995. This exemption is only allowed once in a recipient parent's lifetime.","Always capped","The child is considered benefit-capped until the month after the child's 18th birthday. A benefit-capped child may receive cash assistance prior to the child's 18th birthday if the child becomes a minor parent or is adopted.",12,"A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits. A child born after a 60-month benefit cap period expires and before a new cash assistance application is not capped.",conceived,,100,"Assistance units subject to the family cap receive an additional earned income disregard equal to the lost benefit amount. This additional disregard is allowed for each month the member is excluded because of the cap.",No,,Yes,"The entire amount of child support collected for a benefit capped child is passed through to the unit and excluded from eligibility tests and benefit computation.",Yes,,No,,Yes,,"A child born during a month that the parent received only Arizona Works cash assistance is exempt",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility. The child will not be eligible for support services but are potentially eligible for transitional child care. The family cap policy applies to children adopted by the unit as well."
Arizona,2016/08/06,Ongoing,Yes,"The participant parent is subject to a family benefit cap period of 60 months beginning the date that cash assistance starts. Any child born during this 60-month period is a benefit capped child. The 60-month period continues even if the participant parent discontinues receiving assistance prior to the end of the 60-month benefit cap period; however, children conceived after 12 months of non-receipt are not capped. A new 60-month benefit cap period begins each time the recipient parent resumes cash assistance.",11/01/1995,,10,"Child is excluded if born more than 10 months after the initial application interview on or after 11/1/1995 or the first renewal interview after this date for participants who had ongoing assistance as of 11/1/1995. This exemption is only allowed once in a recipient parent's lifetime.","Always capped","A dependent child who is disqualified due to the benefit cap remains disqualified except when: 1) The child is in the legal custody of the Arizona Department of Child Safety, an Arizona Tribal Court, or an Arizona Tribal Child Welfare agency and is place in unlicensed foster care; 2) The child is placed with a nonparent specified relative head of household by a court; or 3) The child is living with an nonparent specified relative head of household because the child’s parents are deceased, one parent is deceased and the other parent has abandoned the child, or both parents have abandoned the child.",12,"A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits. A child born after a 60-month benefit cap period expires and before a new cash assistance application is not capped.",conceived,,100,"Assistance units subject to the family cap receive an additional earned income disregard equal to the lost benefit amount. This additional disregard is allowed for each month the member is excluded because of the cap.",No,,Yes,"The entire amount of child support collected for a benefit capped child is passed through to the unit and excluded from eligibility tests and benefit computation.",Yes,,No,"A child in the legal custody of the Department of Child Safety and place in an unlicensed foster care with a non-parent specified relative is exempt. A child placed with a non-parent specified relative by a court is exempt. A child in the legal custody of a tribal court or tribal child welfare agency is exempt. A child whose parents are deceased or who has been abandoned is exempt.",Yes,,"A child born during a month that the parent received only Arizona Works cash assistance is exempt",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility. The child will not be eligible for support services but are potentially eligible for transitional child care. The family cap policy applies to children adopted by the unit as well."
Arkansas,1996/01/01,1996/12/31,Yes,,07/01/1994,,10,,"Not in manual",,"Not in manual",,"Not in manual",,100,,Yes,,No,,Yes,,"Not in manual",,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid"
Arkansas,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Arkansas,1997/01/01,1997/06/30,Yes,,07/01/1994,,10,,"Not in manual",,"Not in manual",,"Not in manual",,100,,Yes,,No,,Yes,,"Not in manual",,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid"
Arkansas,1997/01/01,1997/06/30,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Arkansas,1997/07/01,1997/12/31,Yes,,07/01/1994,,9,"A child who is born while the mother is receiving cash assistance, either for other children or as a minor child herself, will not be included in the case for cash assistance purposes.","Not in manual",,"Not in manual",,born,"A child who is born within nine (9) months of the month cash benefits were terminated to the mother will not be included for payment unless the mother's case has been closed continuously for six (6) months. This provision applies equally to applicants who are pregnant and deliver after certification, and to recipients who become pregnant after certifications.",100,,No,,"Not in manual",,"Not in manual",,"Not in manual",,"Not in manual",,n.a.,,"Yes, all",,
Arkansas,1998/01/01,1998/06/30,Yes,,07/01/1997,,9,"A child who is born while the mother is receiving cash assistance, either for other children or as a minor child herself, will not be included in the case for cash assistance purposes.","Not in manual",,"Not in manual",,born,"A child who is born within nine (9) months of the month cash benefits were terminated to the mother will not be included for payment unless the mother's case has been closed continuously for six (6) months. This provision applies equally to applicants who are pregnant and deliver after certification, and to recipients who become pregnant after certifications.",100,,No,,"Not in manual",,"Not in manual",,"Not in manual",,"Not in manual",,n.a.,,"Yes, all",,
Arkansas,1998/07/01,2013/12/31,Yes,,07/01/1997,,n.a.,"Any child born to a parent receiving assistance will not be included in the unit. This is applicable to both children conceived prior to a unit's certification as well as to those children conceived after a unit's certification.",6,,"Not in manual",,born,"A child who is born within nine (9) months of the month cash benefits were terminated to the mother will not be included for payment unless the mother's case has been closed continuously for six (6) months. This provision applies equally to applicants who are pregnant and deliver after certification, and to recipients who become pregnant after certifications.",100,,No,,"Not in manual",,"Not in manual",,"Not in manual",,"Not in manual",,n.a.,,"Yes, all",,
Arkansas,2014/01/01,Ongoing,Yes,,07/01/1997,,n.a.,"Any child born to a parent receiving assistance will not be included in the unit. This is applicable to both children conceived prior to a unit's certification as well as to those children conceived after a unit's certification.",6,,"Not in manual",,born,"A child who is born within nine (9) months of the month cash benefits were terminated to the mother will not be included for payment unless the mother's case has been closed continuously for six (6) months. This provision applies equally to applicants who are pregnant and deliver after certification, and to recipients who become pregnant after certifications.",100,,No,,"Not in manual",,"Not in manual",,"Not in manual",,"Not in manual",,n.a.,,"Yes, all",,
California,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
California,1997/01/01,1997/06/30,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
California,1997/07/01,1997/07/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,Yes,"Any child support received for a child subject to the family cap is treated as exempt income.",n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
California,1997/08/01,1998/12/31,Yes,,09/01/1997,,10,"The family is exempt from the family cap if they leave assistance for two months during the 10 month period leading up to the birth.",24,,"Not in manual",,"Not in manual",,100,,Yes,,Yes,"Any child support received for a child subject to the family cap is treated as exempt income.",Yes,,Yes,,No,,"If the child is born as a result of incest, or the medically documented failure of an intrauterine device, Norplant, or the sterilization of either parent.",,"Yes, all",,
California,1999/01/01,2001/06/30,Yes,,09/01/1997,,10,"The family is exempt from the family cap if they leave assistance for two months during the 10 month period leading up to the birth.",24,,"Not in manual",,"Not in manual",,100,,Yes,,Yes,"Any child support received for a child subject to the family cap is treated as exempt income.",Yes,,Yes,,No,,"If the child is born as a result of incest, or the medically documented failure of an intrauterine device, Norplant, or the sterilization of either parent.",,"Yes, all",,
California,2001/07/01,2013/12/31,Yes,,09/01/1997,,10,"The family is exempt from the family cap if they leave assistance for two months during the 10 month period leading up to the birth.",24,,"Not in manual",,"Not in manual",,100,,Yes,,Yes,"Any child support received for a child subject to the family cap is treated as exempt income.",Yes,,Yes,,Yes,"A teen parent who has met the state's age requirements at the time the child was born establishes his/her own unit. When this occurs, the family cap rule does not apply to any existing child of the teen parent or any new child born to the teen parent during the first 10 months after establishing his/her own unit.","If the child is born as a result of incest, or the medically documented failure of an intrauterine device, Norplant, or the sterilization of either parent.",,"Yes, all",,
California,2014/01/01,2015/12/31,Yes,,09/01/1997,,10,"The family is exempt from the family cap if they leave assistance for two months during the 10 month period leading up to the birth.",24,,"Not in manual",,"Not in manual",,100,,Yes,,Yes,"Any child support received for a child subject to the family cap is treated as exempt income.",Yes,,Yes,,Yes,"A teen parent who has met the state's age requirements at the time the child was born establishes his/her own unit. When this occurs, the family cap rule does not apply to any existing child of the teen parent or any new child born to the teen parent during the first 10 months after establishing his/her own unit.","If the child is born as a result of incest, or the medically documented failure of an intrauterine device, Norplant, or the sterilization of either parent.",,"Yes, all",,
California,2016/01/01,2016/12/31,Yes,,09/01/1997,,10,"The family is exempt from the family cap if they leave assistance for two months during the 10 month period leading up to the birth.",24,,"Not in manual",,"Not in manual",,100,,Yes,,Yes,,Yes,,Yes,,Yes,"A teen parent who has met the state's age requirements at the time the child was born establishes his/her own unit. When this occurs, the family cap rule does not apply to any existing child of the teen parent or any new child born to the teen parent during the first 10 months after establishing his/her own unit.","If the child is born as a result of incest, or the medically documented failure of an intrauterine device, Norplant, or the sterilization of either parent.",,"Yes, all",,
California,2017/01/01,Ongoing,No,"Effective 01/01/2017, no children are subject to a family cap. This includes children born after 01/01/2017 and children subject to the prior family cap policy implemented on 09/01/1997.",n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Colorado,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Colorado,1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Colorado,1998/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Colorado,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Connecticut,1996/01/01,1996/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,50,"The benefit for an additional child is a fixed $50, which equals one half the average increase for additional children.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: (1) For families not subject to the time limit, $69 is added to Dollar Amount 1 for each child subject to the family cap. (2) For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,1997/01/01,1997/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,"See notes","The benefit for an additional child is only $50 which equal one half the average increase for an additional children. See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: (1) For families not subject to the time limit, $69 is added to Dollar Amount 1 for each child subject to the family cap. (2) For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Connecticut,1998/01/01,1998/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,"See notes","The benefit for an additional child is only $50 which equal one half the average increase for an additional children. See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: (1) For families not subject to the time limit, $69 is added to Dollar Amount 1 for each child subject to the family cap. (2) For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,1998/01/01,1998/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Connecticut,1999/01/01,2000/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,"See notes","The benefit for an additional child is only $50 which equal one half the average increase for an additional children. See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: (1) For families not subject to the time limit, $69 is added to Dollar Amount 1 for each child subject to the family cap. (2) For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,1999/01/01,2000/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Connecticut,2001/01/01,2001/09/30,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Connecticut,2001/01/01,2001/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,50,"The benefit for an additional child is a fixed $50, which equal one half the average increase for additional children.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: (1) For families not subject to the time limit, $69 is added to Dollar Amount 1 for each child subject to the family cap. (2) For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,2002/01/01,2013/12/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,50,"The benefit for an additional child is a fixed $50, which equals one half the average increase for additional children.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,2014/01/01,2021/10/31,Yes,"See Additional Notes variable for additional information regarding the benefit calculation for units affected by a family cap.",01/01/1996,,10,,"Always capped",,10,,conceived,,50,"The benefit for an additional child is a fixed $50, which equals one half the average increase for additional children.",Yes,"The child's needs are taken into account in eligibility and benefit computations, but not their income.",No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,"For benefit calculation: For families subject to the time limit, $50 is added to Dollar Amount 2 for each child subject to the family cap."
Connecticut,2021/11/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Delaware,1996/01/01,1996/12/31,Yes,,10/01/1995,,10,,"Always capped",,1,,conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,
Delaware,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Delaware,1997/01/01,1997/06/30,Yes,,10/01/1995,,10,,"Always capped",,1,,conceived,,100,,Yes,,No,,Yes,,Yes,,Yes,,n.a.,,"Yes, all",,
Delaware,1997/07/01,1998/12/31,Yes,,10/01/1995,,10,,"Always capped",,1,,conceived,,100,,Yes,,No,,Yes,,Yes,,No,,n.a.,,"Yes, all",,
Delaware,1999/01/01,1999/04/30,Yes,,10/01/1995,,10,,"Always capped",,1,,conceived,,100,,Yes,,No,,Yes,,Yes,,No,,n.a.,,"Yes, all",,
